sentence,book,word_count,afinn,bing,nrc,sentimentR,nrc.anger,nrc.anticipation,nrc.disgust,nrc.fear,nrc.joy,nrc.sadness,nrc.surprise,nrc.trust,nrc.negative,nrc.positive,anger.perc,sadness.perc,joy.perc,anticipation.perc,disgust.perc,trust.perc,surprise.perc,fear.perc
"for this far violet line could be nothing else than the terrible mountains of the forbidden land—highest of earth’s peaks and focus of earth’s evil; harbourers of nameless horrors and archaean secrets; shunned and prayed to by those who feared to carve their meaning; untrodden by any living thing of earth, but visited by the sinister lightnings and sending strange beams across the plains in the polar night—beyond doubt the unknown archetype of that dreaded kadath in the cold waste beyond abhorrent leng, whereof unholy primal legends hint evasively.",atthemountainsofmadness,93,-14,-10,-9,-1.58,4,2,6,9,1,4,1,1,12,3,4.3,4.3,1.08,2.15,6.45,1.08,1.08,9.68
"of the whereabouts of that less conceivable and less mentionable nightmare—that foetid, unglimpsed mountain of slime-spewing protoplasm whose race had conquered the abyss and sent land pioneers to re-carve and squirm through the burrows of the hills—we could form no guess; and it cost us a genuine pang to leave this probably crippled old one—perhaps a lone survivor—to the peril of recapture and a nameless fate.",atthemountainsofmadness,72,-2,-6,-7,-0.01,0,3,3,3,0,5,3,1,9,2,0,6.94,0,4.17,4.17,1.39,4.17,4.17
"the sheer appalling antiquity and lethal desolation of the place were enough to overwhelm almost any sensitive person, but added to these elements were the recent unexplained horror at the camp, and the revelations all too soon effected by the terrible mural sculptures around us.",atthemountainsofmadness,45,-5,-4,-7,-0.56,2,1,4,5,0,5,1,0,7,0,4.44,11.11,0,2.22,8.89,0,2.22,11.11
"tough as leather, but astonishing flexibility retained in places.",atthemountainsofmadness,9,-1,3,0,1.28,0,0,0,0,0,1,0,0,1,1,0,11.11,0,0,0,0,0,0
"‘ah, dear hans,’ said elsie, ‘if we marry each other and have a child, and he is big, and we perhaps send him here to draw something to drink, then the pick-axe which has been left up there might dash his brains out if it were to fall down, so have we not reason to weep?’ ‘come,’ said hans, ‘more understanding than that is not needed for my household, as you are such a clever elsie, i will have you,’ and seized her hand, took her upstairs with him, and married her.",brothersgrimm,93,2,-1,7,0.22,0,2,0,1,2,2,1,2,2,9,0,2.15,2.15,2.15,0,2.15,1.08,1.08
"‘i hardly know where i am going, or what i had better do,’ said the soldier; ‘but i think i should like very well to find out where it is that the princesses dance, and then in time i might be a king.’ ‘well,’ said the old dame, ‘that is no very hard task: only take care not to drink any of the wine which one of the princesses will bring to you in the evening; and as soon as she leaves you pretend to be fast asleep.’ then she gave him a cloak, and said, ‘as soon as you put that on you will become invisible, and you will then be able to follow the princesses wherever they go.’ when the soldier heard all this good counsel, he determined to try his luck: so he went to the king, and said he was willing to undertake the task.",brothersgrimm,149,11,4,8,0.79,2,3,1,0,3,1,2,4,1,9,1.34,0.67,2.01,2.01,0.67,2.68,1.34,0
"‘when you are half-way over, throw it down, and out of the waters will immediately spring up a high nut-tree on which the griffin will be able to rest, otherwise he would not have the strength to bear you the whole way; if, therefore, thou dost forget to throw down the nut, he will let you both fall into the sea.’ so our poor wanderer went forth, and found all as the night-wind had said; and she plucked the eleventh rod, and smote the dragon, and the lion forthwith became a prince, and the dragon a princess again.",brothersgrimm,101,-1,-2,7,0.01,2,2,1,4,2,1,1,4,3,10,1.98,0.99,1.98,1.98,0.99,3.96,0.99,3.96
"‘would not you like,’ said he, ‘to be a tailor?’ ‘oh, no!’ said the young man; ‘sitting cross-legged from morning to night, working backwards and forwards with a needle and goose, will never suit me.’ ‘oh!’ answered the man, ‘that is not my sort of tailoring; come with me, and you will learn quite another kind of craft from that.’ not knowing what better to do, he came into the plan, and learnt tailoring from the beginning; and when he left his master, he gave him a needle, and said, ‘you can sew anything with this, be it as soft as an egg or as hard as steel; and the joint will be so fine that no seam will be seen.’ after the space of four years, at the time agreed upon, the four brothers met at the four cross-roads; and having welcomed each other, set off towards their father’s home, where they told him all that had happened to them, and how each had learned some craft.",brothersgrimm,171,9,4,8,0.14,1,3,1,1,3,1,1,3,2,10,0.58,0.58,1.75,1.75,0.58,1.75,0.58,0.58
"and as they came to the wood where the fox first met them, it was so cool and pleasant that the two brothers said, ‘let us sit down by the side of the river, and rest a while, to eat and drink.’ so he said, ‘yes,’ and forgot the fox’s counsel, and sat down on the side of the river; and while he suspected nothing, they came behind, and threw him down the bank, and took the princess, the horse, and the bird, and went home to the king their master, and said.",brothersgrimm,94,4,3,8,0.48,0,1,0,0,1,0,1,4,0,8,0,0,1.06,1.06,0,4.26,1.06,0
"at the same time three ravens flew down to him, perched themselves upon his knee, and said: ‘we are the three young ravens whom you saved from starving; when we had grown big, and heard that you were seeking the golden apple, we flew over the sea to the end of the world, where the tree of life stands, and have brought you the apple.’ the youth, full of joy, set out homewards, and took the golden apple to the king’s beautiful daughter, who had now no more excuses left to make.",brothersgrimm,93,6,2,8,0.5,2,4,1,1,6,0,3,1,1,9,2.15,0,6.45,4.3,1.08,1.08,3.23,1.08
"he has a bird’s heart that brings a piece of gold under his pillow every morning.’ meantime the huntsman came nearer and looked at the lady, and said to himself, ‘i have been travelling so long that i should like to go into this castle and rest myself, for i have money enough to pay for anything i want’; but the real reason was, that he wanted to see more of the beautiful lady.",brothersgrimm,75,5,4,8,0.56,1,3,0,0,3,0,1,3,0,8,1.33,0,4,4,0,4,1.33,0
"little does my lady dream rumpelstiltskin is my name!” when the queen heard this she jumped for joy, and as soon as her little friend came she sat down upon her throne, and called all her court round to enjoy the fun; and the nurse stood by her side with the baby in her arms, as if it was quite ready to be given up.",brothersgrimm,65,10,4,7,0.54,1,4,0,1,5,0,0,4,0,7,1.54,0,7.69,6.15,0,6.15,0,1.54
"my dead cousin was here, and a bearded man came and showed me a great deal of money down below, but no one told me what it was to shudder.’ ‘then,’ said the king, ‘you have saved the castle, and shall marry my daughter.’ ‘that is all very well,’ said he, ‘but still i do not know what it is to shudder!’ then the gold was brought up and the wedding celebrated; but howsoever much the young king loved his wife, and however happy he was, he still said always: ‘if i could but shudder--if i could but shudder.’ and this at last angered her.",brothersgrimm,106,10,5,8,0.59,1,6,0,2,7,0,4,4,1,9,0.94,0,6.6,5.66,0,3.77,3.77,1.89
"she was, moreover, very shrewd and clever; and the miller was so proud of her, that he one day told the king of the land, who used to come and hunt in the wood, that his daughter could spin gold out of straw.",brothersgrimm,43,4,3,7,0.39,0,1,0,0,2,0,0,1,0,7,0,0,4.65,2.33,0,2.33,0,0
"the turnip clever hans the three languages the fox and the cat the four clever brothers lily and the lion the fox and the horse the blue light the raven the golden goose the water of life the twelve huntsmen the king of the golden mountain doctor knowall the seven ravens the wedding of mrs fox first story second story the salad the story of the youth who went forth to learn what fear was king grisly-beard iron hans cat-skin snow-white and rose-red the brothers grimm fairy tales the golden bird a certain king had a beautiful garden, and in the garden stood a tree which bore golden apples.",brothersgrimm,113,2,0,8,0.81,3,4,2,4,5,1,2,5,3,11,2.65,0.88,4.42,3.54,1.77,4.42,1.77,3.54
"then she began to howl quite horribly, but gretel ran away and the godless witch was miserably burnt to death.",brothersgrimm,20,-2,-2,-7,-1.95,4,1,4,3,0,3,2,0,7,0,20,15,0,5,20,0,10,15
"then the queen took pity on the little fish, and threw it back again into the river; and before it swam away it lifted its head out of the water and said, ‘i know what your wish is, and it shall be fulfilled, in return for your kindness to me--you will soon have a daughter.’ what the little fish had foretold soon came to pass; and the queen had a little girl, so very beautiful that the king could not cease looking on it for joy, and said he would hold a great feast and make merry, and show the child to all the land.",brothersgrimm,106,13,4,8,0.34,0,1,0,0,5,1,0,1,0,8,0,0.94,4.72,0.94,0,0.94,0,0
"when he found himself safe, he was overjoyed to think that he had got the water of life; and as he was going on his way homewards, he passed by the little dwarf, who, when he saw the sword and the loaf, said, ‘you have made a noble prize; with the sword you can at a blow slay whole armies, and the bread will never fail you.’ then the prince thought to himself, ‘i cannot go home to my father without my brothers’; so he said, ‘my dear friend, cannot you tell me where my two brothers are, who set out in search of the water of life before me, and never came back?’ ‘i have shut them up by a charm between two mountains,’ said the dwarf, ‘because they were proud and ill-behaved, and scorned to ask advice.’ the prince begged so hard for his brothers, that the dwarf at last set them free, though unwillingly, saying, ‘beware of them, for they have bad hearts.’ their brother, however, was greatly rejoiced to see them, and told them all that had happened to him; how he had found the water of life, and had taken a cup full of it; and how he had set a beautiful princess free from a spell that bound her; and how she had engaged to wait a whole year, and then to marry him, and to give him the kingdom.",brothersgrimm,237,14,2,8,0.47,3,6,2,4,8,2,1,10,7,15,1.27,0.84,3.38,2.53,0.84,4.22,0.42,1.69
"when they had brought home the princess to her father, there was great rejoicing; and he said to the four brothers, ‘one of you shall marry her, but you must settle amongst yourselves which it is to be.’ then there arose a quarrel between them; and the star-gazer said, ‘if i had not found the princess out, all your skill would have been of no use; therefore she ought to be mine.’ ‘your seeing her would have been of no use,’ said the thief, ‘if i had not taken her away from the dragon; therefore she ought to be mine.’ ‘no, she is mine,’ said the huntsman; ‘for if i had not killed the dragon, he would, after all, have torn you and the princess into pieces.’ ‘and if i had not sewn the boat together again,’ said the tailor, ‘you would all have been drowned, therefore she is mine.’ then the king put in a word, and said, ‘each of you is right; and as all cannot have the young lady, the best way is for neither of you to have her: for the truth is, there is somebody she likes a great deal better.",brothersgrimm,197,6,5,7,0.26,2,5,1,3,6,1,5,7,3,10,1.02,0.51,3.05,2.54,0.51,3.55,2.54,1.52
"at the time i saw no reason to dissent from this dictum, but latterly i am inclined to wonder—and more than wonder.",callofcthulhu,23,-1,0,1,1.46,0,1,0,0,0,0,0,1,0,1,0,0,0,4.35,0,4.35,0,0
"it was voodoo, apparently, but voodoo of a more terrible sort than they had ever known; and some of their women and children had disappeared since the malevolent tom-tom had begun its incessant beating far within the black haunted woods where no dweller ventured.",callofcthulhu,45,-8,-3,-7,-0.95,3,1,2,4,0,5,0,0,7,0,6.67,11.11,0,2.22,4.44,0,0,8.89
"the emma’s men shewed fight, says the survivor, and though the schooner began to sink from shots beneath the waterline they managed to heave alongside their enemy and board her, grappling with the savage crew on the yacht’s deck, and being forced to kill them all, the number being slightly superior, because of their particularly abhorrent and desperate though rather clumsy mode of fighting.",callofcthulhu,66,-9,-4,-8,-0.97,5,1,3,6,0,1,0,1,9,1,7.58,1.52,0,1.52,4.55,1.52,0,9.09
"'chaplain,' resumed the officer without insignia at a more leisurely pace, lifting a typewritten sheet of yellow paper from the open folder, 'i have a signed statement here from colonel cathcart asserting you stole that plum tomato from him.'",catch22,39,0,-1,7,0.17,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,10.26,0,0
"'that would have been most unjust,' he scolded firmly.",catch22,9,-2,-2,-1,-1.68,1,0,0,0,0,0,0,0,1,0,11.11,0,0,0,0,0,0,0
"'the real trick lies in losing wars, in knowing which wars can be lost.",catch22,14,-6,-4,-1,-1.87,1,0,0,0,0,2,1,1,3,2,7.14,14.29,0,0,0,7.14,7.14,0
"but no, it was not, and they sent this guy around just to make sure i really did have one leg amputated at the hip and was helplessly bedridden with incurable rheumatoid arthritis.",catch22,33,-1,-1,-1,-1.58,1,0,1,1,0,1,0,0,1,0,3.03,3.03,0,0,3.03,0,0,3.03
but you will accept it quickly enough.',catch22,7,1,1,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"captain flume is already working on glowing press releases describing your valor over ferrara, your deep and abiding loyalty to your outfit and your consummate dedication to duty.",catch22,28,3,4,7,0.78,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,7.14,0,0
"colonel cathcart went away from general dreedle with a gulp and kicked the chaplain out of the officers' club, and it was exactly the way it almost was two months later after the chaplain had tried to persuade colonel cathcart to rescind his order increasing the number of missions to sixty and had failed abysmally in that endeavor too, and the chaplain was ready now to capitulate to despair entirely but was restrained by the memory of his wife, whom he loved and missed so pathetically with such sensual and exalted ardor, and by the lifelong trust he had placed in the wisdom and justice of an immortal, omnipotent, omniscient, humane, universal, anthropomorphic, english-speaking, anglo-saxon, pro-american god, which had begun to waver.",catch22,125,2,1,8,0.45,1,5,1,5,3,1,2,11,4,12,0.8,0.8,2.4,4,0.8,8.8,1.6,4
"gasping furiously for air, clevinger enumerated yossarian's symptoms: an unreasonable belief that everybody around him was crazy, a homicidal impulse to machine-gun strangers, retrospective falsification, an unfounded suspicion that people hated him and were conspiring to kill him.",catch22,39,-9,-8,-7,-1.37,5,0,0,6,0,2,0,1,7,0,12.82,5.13,0,0,0,2.56,0,15.38
"general dreedle devoured fresh eggs for breakfast, lunch and dinner - between meals he devoured more fresh eggs - until milo located abundant sources of fresh veal, beef, duck, baby lamb chops, mushroom caps, broccoli, south african rock lobster tails, shrimp, hams, puddings, grapes, ice cream, strawberries and artichokes.",catch22,47,1,2,8,0.69,0,1,0,0,4,1,1,3,0,8,0,2.13,8.51,2.13,0,6.38,2.13,0
"general dreedle's nurse always followed general dreedle everywhere he went, even into the briefing room just before the mission to avignon, where she stood with her asinine smile at the side of the platform and bloomed like a fertile oasis at general dreedle's shoulder in her pink-and-green uniform.",catch22,50,4,3,7,0.53,0,1,0,0,3,0,1,6,0,7,0,0,6,2,0,12,2,0
"he shouted with dread, stunned by the haggard, sparking anguish in dunbar's eyes and by his crazed look of wild shock and horror.",catch22,23,-9,-4,-8,-1.02,4,1,1,6,0,3,4,0,8,0,17.39,13.04,0,4.35,4.35,0,17.39,26.09
he wanted to pour out to her in torrents of self-pity all his unbearable loneliness and despair and warn her never to leave the boric acid or the aspirin in reach of the children or to cross a street against the traffic light.,catch22,44,-7,-4,-7,-0.26,2,1,2,4,0,6,2,1,7,0,4.55,13.64,0,2.27,4.55,2.27,4.55,9.09
"his meditations were polluted with threats of dread diseases like ewing's tumor and leukemia; he saw his infant son die two or three times every week because he had never taught his wife how to stop arterial bleeding; watched, in tearful, paralyzed silence, his whole family electrocuted, one after the other, at a baseboard socket because he had never told her that a human body would conduct electricity; all four went up in flames almost every night when the water heater exploded and set the two-story wooden house afire; in ghastly, heartless, revolting detail he saw his poor dear wife's trim and fragile body crushed to a viscous pulp against the brick wall of a market building by a half-wined drunken automobile driver and watched his hysterical five-year-old daughter being led away from the grisly scene by a kindly middle-aged gentleman with snow-white hair who raped and murdered her repeatedly as soon as he had driven her off to a deserted sandpit, while his two younger children starved to death slowly in the house after his wife's mother, who had been baby-sitting, dropped dead from a heart attack when news of his wife's accident was given to her over the telephone.",catch22,208,-25,-16,-10,-0.71,8,5,9,18,5,12,4,4,20,10,3.85,5.77,2.4,2.4,4.33,1.92,1.92,8.65
"it made as much sense as anything else, and yossarian was willing to give orr the benefit of the doubt because orr was from the wilderness outside new york city and knew so much more about wildlife than yossarian did, and because orr, unlike yossarian's mother, father, sister, brother, aunt, uncle, in-law, teacher, spiritual leader, legislator, neighbor and newspaper, had never lied to him about anything crucial before.",catch22,69,-1,1,7,0.77,0,3,0,2,1,3,0,11,2,9,0,4.35,1.45,4.35,0,15.94,0,2.9
"mcwatt was too busy responding at the controls to yossarian's strident instructions as yossarian slipped the plane in on the bomb run and then whipped them all away violently around the ravenous pillars of exploding shells with curt, shrill, obscene commands to mcwatt that were much like the anguished, entreating nightmare yelpings of hungry joe in the dark.",catch22,58,-4,-7,-7,-0.95,4,2,2,5,0,4,2,1,7,0,6.9,6.9,0,3.45,3.45,1.72,3.45,8.62
"officers' clubs everywhere pulsated with blurred but knowing accounts of lavish, hushed-up drinking and sex orgies there and of secret, intimate nights of ecstasy with the most beautiful, the most tantalizing, the most readily aroused and most easily satisfied italian courtesans, film actresses, models and countesses.",catch22,47,5,6,6,2.04,0,4,0,0,6,0,1,4,3,9,0,0,12.77,8.51,0,8.51,2.13,0
"the clinging, overpowering conviction of death spread steadily with the continuing rainfall, soaking mordantly into each man's ailing countenance like the corrosive blot of some crawling disease.",catch22,27,0,-3,-7,-0.75,3,1,2,5,0,3,1,0,7,0,11.11,11.11,0,3.7,7.41,0,3.7,18.52
"the delirious man with the fever and the crushed toes sank to the floor and wept in pain while other men tripped over him and hurt him more in their blind, milling, agonized stampede.",catch22,34,-12,-7,-5,-1.63,2,0,1,4,0,4,0,0,5,0,5.88,11.76,0,0,2.94,0,0,11.76
"the girl screeched in feminine outrage and waddled comically after the scheming ten-year-old pimp, her grisly, bleak, violated scalp slithering up and down ludicrously around the queer darkened wart of her face like something bleached and obscene.",catch22,39,-5,-6,-7,-1.08,1,0,4,2,0,2,0,0,7,0,2.56,5.13,0,0,10.26,0,0,5.13
"the planes were decorated with flamboyant squadron emblems illustrating such laudable ideals as courage, might, justice, truth, liberty, love, honor and patriotism that were painted out at once by milo's mechanics with a double coat of flat white and replaced in garish purple with the stenciled name m & m enterprises, fine fruits and produce.",catch22,54,11,5,7,0.93,0,2,1,0,3,0,2,5,1,8,0,0,5.56,3.7,1.85,9.26,3.7,0
"to german intelligence, major - de coverley was a vexatious enigma; not one of the hundreds of american prisoners would ever supply any concrete information about the elderly white-haired officer with the gnarled and menacing brow and blazing, powerful eyes who seemed to spearhead every important advance so fearlessly and successfully.",catch22,51,2,4,8,0.92,2,3,1,4,4,0,1,5,1,9,3.92,0,7.84,5.88,1.96,9.8,1.96,7.84
"yes, positively beautiful.",catch22,3,6,2,1,1.33,0,0,0,0,1,0,0,0,0,1,0,0,33.33,0,0,0,0,0
"'the teavee household,’ said mr bucket, going on with his reading, 'was crammed, like all the others, with excited visitors when our reporter arrived, but young mike teavee, the lucky winner, seemed extremely annoyed by the whole business.",charlieandthechocolatefactory,38,10,3,7,0.56,0,3,0,0,4,0,4,2,0,7,0,0,10.53,7.89,0,5.26,10.53,0
"but this revolting boy, ofcourse, was so unutterably vile, so greedy, foul, and infantile, he left a most disgusting taste inside our mouths, and so in haste we chose a thing that, come what may, would take the nasty taste away.",charlieandthechocolatefactory,41,-11,-7,-7,-0.97,5,1,7,4,0,1,0,0,7,0,12.2,2.44,0,2.44,17.07,0,0,9.76
the very finest quality.,charlieandthechocolatefactory,4,0,1,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"but i played with care, with great care, the greatest, saying, smiling: ""good.",clockworkorange,13,13,4,2,1.59,0,1,0,0,2,0,1,1,0,2,0,0,15.38,7.69,0,7.69,7.69,0
"but the throb and like crash crash crash in my gulliver and the wanting to be sick and the terrible dry rasping thirstiness in my rot, all were worse than yesterday.",clockworkorange,31,-8,-5,-7,-1.17,1,0,3,5,0,7,1,0,7,0,3.23,22.58,0,0,9.68,0,3.23,16.13
good good good.,clockworkorange,3,3,1,1,1.3,0,1,0,0,1,0,1,1,0,1,0,0,33.33,33.33,0,33.33,33.33,0
"great music, it said, and great poetry would like quieten modern youth down and make modern youth more civilized.",clockworkorange,19,5,3,3,1.54,1,1,0,1,3,1,1,1,0,3,5.26,5.26,15.79,5.26,0,5.26,5.26,5.26
"i know, i know, my friends, i have been informed in visions that there is a place, darker than any prison, hotter than any flame of human fire, where souls of unrepentant criminal sinners like yourselves - and do not leer at me, damn you, do not laugh - like yourselves, i say, scream in endless and intolerable agony, their noses choked with the smell of filth, their mouths crammed with burning ordure, their skin peeling and rotting, a fireball spinning in their screaming guts.",clockworkorange,83,-13,-10,-8,-0.98,9,0,8,7,2,3,2,1,12,4,10.84,3.61,2.41,0,9.64,1.2,2.41,8.43
"i said: ""well well well well well.",clockworkorange,7,0,1,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"it seemed written in a very bezoomny like style, full of ah and oh and all that cal, but what seemed to come out of it was that all lewdies nowadays were being turned into machines and that they were really - you and me and him and kiss-my-sharries - more like a natural growth like a fruit.f. alexander seemed to think that we all like grow on what he called the world-tree in the world-orchard that like bog or god planted, and we were there because bog or god had need of us to quench his thirsty love, or some such cal.",clockworkorange,106,11,2,5,1.55,1,4,1,1,5,0,2,3,2,7,0.94,0,4.72,3.77,0.94,2.83,1.89,0.94
"right right right?""",clockworkorange,3,0,1,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
right right right.,clockworkorange,6,0,2,0,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the older one of the two said: ""well well well well well well well.",clockworkorange,14,0,1,0,1.5,0,0,0,0,0,1,0,0,0,0,0,7.14,0,0,0,0,0,0
"there it was then, the bass strings like govoreeting away from under my bed at the rest of the orchestra, and then the male human goloss coming in and telling them all to be joyful, and then the lovely blissful tune all about joy being a glorious spark like of heaven, and then i felt the old tigers leap in me and then i leapt on these two young ptitsas.",clockworkorange,70,19,7,7,0.72,1,3,0,0,6,2,2,3,0,7,1.43,2.86,8.57,4.29,0,4.29,2.86,0
well well well.,clockworkorange,3,0,1,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yes yes yes.,clockworkorange,3,1,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""he has been conscious a long time, since the morning,"" went on razumihin, whose familiarity seemed so much like unaffected good-nature that pyotr petrovitch began to be more cheerful, partly, perhaps, because this shabby and impudent person had introduced himself as a student.",crimeandpunishment,44,7,2,2,1.35,0,4,1,0,3,0,2,2,1,3,0,0,6.82,9.09,2.27,4.55,4.55,0
"""he is competent, hardworking, honest and capable of real love....",crimeandpunishment,10,8,3,4,1.42,1,0,1,1,2,1,0,3,0,4,10,10,20,0,10,30,0,10
"""i was joking of course, but look here; on one side we have a stupid, senseless, worthless, spiteful, ailing, horrid old woman, not simply useless but doing actual mischief, who has not an idea what she is living for herself, and who will die in a day or two in any case.",crimeandpunishment,52,-12,-9,-8,-0.5,4,0,3,5,0,6,1,0,10,2,7.69,11.54,0,0,5.77,0,1.92,9.62
"""yes, yes, yes!",crimeandpunishment,3,1,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(cough, cough, cough, cough!) again!",crimeandpunishment,5,0,0,-1,-1.43,0,0,1,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0
"afterwards he saw her lower lip quiver with indignation at her brother's insolent, cruel and ungrateful words-and his fate was sealed.",crimeandpunishment,22,-5,-4,-8,-0.77,4,1,3,2,0,2,0,0,8,0,18.18,9.09,0,4.55,13.64,0,0,9.09
"and she had destroyed herself, crushed by an insult that had appalled and amazed that childish soul, had smirched that angel purity with unmerited disgrace and torn from her a last scream of despair, unheeded and brutally disregarded, on a dark night in the cold and wet while the wind howled....",crimeandpunishment,51,-20,-8,-8,-1.09,6,1,6,4,1,6,4,1,10,2,11.76,11.76,1.96,1.96,11.76,1.96,7.84,7.84
"anxiety, cries of horror, moans...",crimeandpunishment,5,-6,-1,-2,-1.61,2,1,1,2,0,2,1,0,2,0,40,40,0,20,20,0,20,40
but i am talking too much.,crimeandpunishment,6,0,0,0,-1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
but i was stupid and impatient and spoiled it all.,crimeandpunishment,10,-4,-3,-2,-1.61,0,1,0,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0
"but to be stopped on the stairs, to be forced to listen to her trivial, irrelevant gossip, to pestering demands for payment, threats and complaints, and to rack his brains for excuses, to prevaricate, to lie-no, rather than that, he would creep down the stairs like a cat and slip out unseen.",crimeandpunishment,53,-4,-8,-7,-0.73,1,0,1,1,0,2,1,0,8,1,1.89,3.77,0,0,1.89,0,1.89,1.89
"he brooded with relish, in profound secret, over the image of a girl-virtuous, poor (she must be poor), very young, very pretty, of good birth and education, very timid, one who had suffered much, and was completely humbled before him, one who would all her life look on him as her saviour, worship him, admire him and only him.",crimeandpunishment,60,5,3,8,0.53,0,5,0,3,6,2,2,7,1,9,0,3.33,10,8.33,0,11.67,3.33,5
