sentence,book,sentimentR
"his terror of the gallows drove him continually to commit temporary suicide, and return to his subordinate station of a part instead of a person; but he loathed the necessity, he loathed the despondency into which jekyll was now fallen, and he resented the dislike with which he was himself regarded.",jekyllhyde,-1.43528708612871
"it was now the representation of an object that i shudder to name--and for this, above all, i loathed, and dreaded, and would have rid myself of the monster had i dared --it was now, i say, the image of a hideous--of a ghastly thing--of the gallows!--oh, mournful and terrible engine of horror and of crime--of agony and of death!",edgarallanpoe2,-1.432601184505358
"she too joined in the singing, but broke down at the second note with a fearful cough, which made her curse in despair and even shed tears.",crimeandpunishment,-1.4313475423659472
"(cough, cough, cough, cough!) again!",crimeandpunishment,-1.4310835055998654
"'neath pleasure's lash, the grim high executioner, mortal souls, that vile and worthless throng, reap grim remorse amidst the abject ceremony, pain, take my hand; let us now along ...",atomised,-1.427997150581529
but it would be too dangerous.,theoldmanandthesea,-1.4237659129927225
but i wish i could make a song about her.,thetwotowers,-1.4230249470757705
"hopeless, hopeless!""",crimeandpunishment,-1.414213562373095
"stupid, stupid.",fahrenheit451,-1.414213562373095
too much aggressive chemistry in that mix; the temptation to run a deliberate freakout would be too heavy.,fearandloathing,-1.41185653976914
and the more horrible the death the more ridiculous they seem.,tropic of cancer,-1.402027752286601
"but all foul, all rotting, all dead.",thetwotowers,-1.3937439942215253
"unfortunately, in the vl'hurg tongue this was the most dreadful insult imaginable, and there was nothing for it but to wage terrible war for centuries.",hitchhikersguide,-1.3925
